size,time_basic,mem_basic,time_efficient,mem_efficient
16,0.04410743713378906,0.0
64,0.3216266632080078,64.0
128,1.2412071228027344,208.0
256,5.376100540161133,896.0
384,11.200904846191406,912.0
512,20.53999900817871,2352.0
768,46.58007621765137,4272.0
1024,83.24098587036133,6816.0
1280,139.23001289367676,8832.0
1536,186.59400939941406,12112.0
2048,345.51501274108887,20000.0
2560,533.8997840881348,29792.0
3072,735.9721660614014,23968.0
3584,1063.0309581756592,18592.0
3968,1281.4090251922607,57952.0
